,Year,Type of Offence,UNIT,VALUE
565,2004,"Possession of an article (with intent to burgle, steal, demand)",Number,45.0
566,2004,Theft and related offences,Number,17030.0
567,2004,Theft/taking of vehicle and related offences,Number,3248.0
568,2004,Theft from person,Number,1289.0
569,2004,Theft from shop,Number,3982.0
570,2004,"Other thefts, handling stolen property",Number,8511.0
571,2004,"Fraud, deception and related offences",Number,748.0
572,2004,Controlled drug offences,Number,2228.0
573,2004,Importation of drugs,Number,8.0
574,2004,Cultivation or manufacture of drugs,Number,5.0
575,2004,Possession of drugs for sale or supply,Number,555.0
576,2004,Possession of drugs for personal use,Number,1555.0
577,2004,Other drug offences,Number,105.0
578,2004,Weapons and Explosives Offences,Number,542.0
579,2004,"Explosives, chemical weapons offences",Number,54.0
580,2004,Discharging a firearm,Number,70.0
581,2004,Possession of a firearm,Number,64.0
582,2004,Offensive weapons offences (n.e.c.),Number,353.0
583,2004,Fireworks offences,Number,1.0
584,2004,Damage to property and to the environment,Number,9081.0
585,2004,Arson,Number,370.0
586,2004,Criminal damage (not arson),Number,8690.0
587,2004,Litter offences,Number,21.0
588,2004,Public order and other social code offences,Number,14353.0
589,2004,Disorderly conduct,Number,10978.0
590,2004,Trespass offences,Number,393.0
591,2004,Liquor licensing offences,Number,2578.0
592,2004,Prostitution offences,Number,26.0
593,2004,"Regulated betting/money, collection/trading offences",Number,139.0
594,2004,Social code offences (n.e.c.),Number,239.0
595,2004,"Offences against government, justice procedures and organisation of crime",Number,1592.0
596,2004,Offences against government and its agents,Number,53.0
597,2004,Organisation of crime and conspiracy to commit crime,Number,2.0
598,2004,Perverting the course of justice,Number,48.0
599,2004,"Offences while in custody, breach of court orders",Number,1489.0
600,2005,Homicide offences,Number,24.0
601,2005,Murder,Number,9.0
602,2005,Manslaughter,Number,3.0
603,2005,Infanticide,Number,0.0
604,2005,Dangerous driving leading to death,Number,12.0
605,2005,Sexual offences,Number,475.0
606,2005,Rape of a male or female,Number,101.0
607,2005,Defilement of a boy or girl less than 17 years old,Number,41.0
608,2005,Sexual offence involving mentally impaired person,Number,2.0
609,2005,Aggravated sexual assault,Number,0.0
610,2005,Sexual assault (not aggravated),Number,317.0
611,2005,Other sexual offences,Number,14.0
612,2005,"Attempts/threats to murder, assaults, harassments and related offences",Number,3322.0
613,2005,Murder-attempt,Number,1.0
614,2005,Threat to kill or cause serious harm,Number,11.0
615,2005,Harassment and related offences,Number,304.0
616,2005,"Assault causing harm, poisoning",Number,1042.0
617,2005,Other assault,Number,1964.0
618,2005,Dangerous or negligent acts,Number,3253.0
619,2005,Dangerous driving causing serious bodily harm,Number,6.0
620,2005,Driving/in charge of a vehicle while over legal alcohol limit,Number,3117.0
621,2005,Driving/in charge of a vehicle under the influence of drugs,Number,23.0
622,2005,Endangerment with potential for serious harm/death,Number,21.0
623,2005,"Abandoning a child, child neglect and cruelty",Number,45.0
624,2005,Unseaworthy/dangerous use of boat or ship,Number,0.0
625,2005,False alarm/interference with aircraft or air transport facilities,Number,8.0
626,2005,Endangering traffic offences,Number,33.0
627,2005,Kidnapping and related offences,Number,18.0
628,2005,False imprisonment,Number,16.0
629,2005,Abduction of person under 16 years of age,Number,2.0
630,2005,Human trafficking offences,Number,0.0
631,2005,"Robbery, extortion and hijacking offences",Number,674.0
632,2005,Robbery of an establishment or institution,Number,357.0
633,2005,Robbery of cash or goods in transit,Number,13.0
634,2005,Robbery from the person,Number,285.0
635,2005,Blackmail or extortion,Number,4.0
636,2005,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,15.0
637,2005,Burglary and related offences,Number,6478.0
638,2005,Aggravated burglary,Number,64.0
639,2005,Burglary (not aggravated),Number,6359.0
640,2005,"Possession of an article (with intent to burgle, steal, demand)",Number,55.0
641,2005,Theft and related offences,Number,17125.0
642,2005,Theft/taking of vehicle and related offences,Number,3489.0
643,2005,Theft from person,Number,1033.0
644,2005,Theft from shop,Number,3884.0
645,2005,"Other thefts, handling stolen property",Number,8719.0
646,2005,"Fraud, deception and related offences",Number,915.0
647,2005,Controlled drug offences,Number,2844.0
648,2005,Importation of drugs,Number,16.0
649,2005,Cultivation or manufacture of drugs,Number,8.0
650,2005,Possession of drugs for sale or supply,Number,699.0
651,2005,Possession of drugs for personal use,Number,1984.0
652,2005,Other drug offences,Number,137.0
653,2005,Weapons and Explosives Offences,Number,529.0
654,2005,"Explosives, chemical weapons offences",Number,7.0
655,2005,Discharging a firearm,Number,64.0
656,2005,Possession of a firearm,Number,91.0
657,2005,Offensive weapons offences (n.e.c.),Number,367.0
658,2005,Fireworks offences,Number,0.0
659,2005,Damage to property and to the environment,Number,9486.0
660,2005,Arson,Number,318.0
661,2005,Criminal damage (not arson),Number,9141.0
662,2005,Litter offences,Number,27.0
663,2005,Public order and other social code offences,Number,12501.0
664,2005,Disorderly conduct,Number,9817.0
665,2005,Trespass offences,Number,398.0
666,2005,Liquor licensing offences,Number,2015.0
667,2005,Prostitution offences,Number,28.0
668,2005,"Regulated betting/money, collection/trading offences",Number,79.0
669,2005,Social code offences (n.e.c.),Number,164.0
670,2005,"Offences against government, justice procedures and organisation of crime",Number,1807.0
671,2005,Offences against government and its agents,Number,35.0
672,2005,Organisation of crime and conspiracy to commit crime,Number,1.0
673,2005,Perverting the course of justice,Number,60.0
674,2005,"Offences while in custody, breach of court orders",Number,1711.0
675,2005,Homicide offences,Number,34.0
676,2005,Murder,Number,16.0
677,2005,Manslaughter,Number,3.0
678,2005,Infanticide,Number,0.0
679,2005,Dangerous driving leading to death,Number,15.0
680,2005,Sexual offences,Number,382.0
681,2005,Rape of a male or female,Number,115.0
682,2005,Defilement of a boy or girl less than 17 years old,Number,21.0
683,2005,Sexual offence involving mentally impaired person,Number,3.0
684,2005,Aggravated sexual assault,Number,3.0
685,2005,Sexual assault (not aggravated),Number,217.0
686,2005,Other sexual offences,Number,23.0
687,2005,"Attempts/threats to murder, assaults, harassments and related offences",Number,3303.0
688,2005,Murder-attempt,Number,1.0
689,2005,Threat to kill or cause serious harm,Number,21.0
690,2005,Harassment and related offences,Number,264.0
691,2005,"Assault causing harm, poisoning",Number,883.0
692,2005,Other assault,Number,2134.0
693,2005,Dangerous or negligent acts,Number,3617.0
694,2005,Dangerous driving causing serious bodily harm,Number,5.0
695,2005,Driving/in charge of a vehicle while over legal alcohol limit,Number,3449.0
696,2005,Driving/in charge of a vehicle under the influence of drugs,Number,28.0
697,2005,Endangerment with potential for serious harm/death,Number,12.0
698,2005,"Abandoning a child, child neglect and cruelty",Number,85.0
699,2005,Unseaworthy/dangerous use of boat or ship,Number,0.0
700,2005,False alarm/interference with aircraft or air transport facilities,Number,4.0
701,2005,Endangering traffic offences,Number,34.0
702,2005,Kidnapping and related offences,Number,20.0
703,2005,False imprisonment,Number,15.0
704,2005,Abduction of person under 16 years of age,Number,5.0
705,2005,Human trafficking offences,Number,0.0
706,2005,"Robbery, extortion and hijacking offences",Number,602.0
707,2005,Robbery of an establishment or institution,Number,295.0
708,2005,Robbery of cash or goods in transit,Number,9.0
709,2005,Robbery from the person,Number,275.0
710,2005,Blackmail or extortion,Number,5.0
711,2005,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,18.0
712,2005,Burglary and related offences,Number,6057.0
713,2005,Aggravated burglary,Number,67.0
714,2005,Burglary (not aggravated),Number,5947.0
715,2005,"Possession of an article (with intent to burgle, steal, demand)",Number,43.0
716,2005,Theft and related offences,Number,18092.0
717,2005,Theft/taking of vehicle and related offences,Number,3557.0
718,2005,Theft from person,Number,1135.0
719,2005,Theft from shop,Number,4005.0
720,2005,"Other thefts, handling stolen property",Number,9395.0
721,2005,"Fraud, deception and related offences",Number,967.0
722,2005,Controlled drug offences,Number,3211.0
723,2005,Importation of drugs,Number,9.0
724,2005,Cultivation or manufacture of drugs,Number,14.0
725,2005,Possession of drugs for sale or supply,Number,720.0
726,2005,Possession of drugs for personal use,Number,2329.0
727,2005,Other drug offences,Number,139.0
728,2005,Weapons and Explosives Offences,Number,638.0
729,2005,"Explosives, chemical weapons offences",Number,4.0
730,2005,Discharging a firearm,Number,75.0
731,2005,Possession of a firearm,Number,139.0
732,2005,Offensive weapons offences (n.e.c.),Number,420.0
733,2005,Fireworks offences,Number,0.0
734,2005,Damage to property and to the environment,Number,9227.0
735,2005,Arson,Number,282.0
736,2005,Criminal damage (not arson),Number,8899.0
737,2005,Litter offences,Number,46.0
738,2005,Public order and other social code offences,Number,13452.0
739,2005,Disorderly conduct,Number,9920.0
740,2005,Trespass offences,Number,439.0
741,2005,Liquor licensing offences,Number,2790.0
742,2005,Prostitution offences,Number,24.0
743,2005,"Regulated betting/money, collection/trading offences",Number,62.0
744,2005,Social code offences (n.e.c.),Number,217.0
745,2005,"Offences against government, justice procedures and organisation of crime",Number,1955.0
746,2005,Offences against government and its agents,Number,40.0
747,2005,Organisation of crime and conspiracy to commit crime,Number,1.0
748,2005,Perverting the course of justice,Number,53.0
749,2005,"Offences while in custody, breach of court orders",Number,1861.0
750,2005,Homicide offences,Number,41.0
751,2005,Murder,Number,14.0
752,2005,Manslaughter,Number,6.0
753,2005,Infanticide,Number,0.0
754,2005,Dangerous driving leading to death,Number,21.0
755,2005,Sexual offences,Number,378.0
756,2005,Rape of a male or female,Number,107.0
757,2005,Defilement of a boy or girl less than 17 years old,Number,36.0
758,2005,Sexual offence involving mentally impaired person,Number,5.0
759,2005,Aggravated sexual assault,Number,3.0
760,2005,Sexual assault (not aggravated),Number,216.0
761,2005,Other sexual offences,Number,11.0
762,2005,"Attempts/threats to murder, assaults, harassments and related offences",Number,3631.0
763,2005,Murder-attempt,Number,3.0
764,2005,Threat to kill or cause serious harm,Number,38.0
765,2005,Harassment and related offences,Number,290.0
766,2005,"Assault causing harm, poisoning",Number,931.0
767,2005,Other assault,Number,2369.0
768,2005,Dangerous or negligent acts,Number,3634.0
769,2005,Dangerous driving causing serious bodily harm,Number,3.0
770,2005,Driving/in charge of a vehicle while over legal alcohol limit,Number,3450.0
771,2005,Driving/in charge of a vehicle under the influence of drugs,Number,27.0
772,2005,Endangerment with potential for serious harm/death,Number,24.0
773,2005,"Abandoning a child, child neglect and cruelty",Number,82.0
774,2005,Unseaworthy/dangerous use of boat or ship,Number,0.0
775,2005,False alarm/interference with aircraft or air transport facilities,Number,5.0
776,2005,Endangering traffic offences,Number,43.0
777,2005,Kidnapping and related offences,Number,13.0
778,2005,False imprisonment,Number,8.0
779,2005,Abduction of person under 16 years of age,Number,5.0
780,2005,Human trafficking offences,Number,0.0
781,2005,"Robbery, extortion and hijacking offences",Number,539.0
782,2005,Robbery of an establishment or institution,Number,198.0
783,2005,Robbery of cash or goods in transit,Number,14.0
784,2005,Robbery from the person,Number,300.0
785,2005,Blackmail or extortion,Number,4.0
786,2005,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,23.0
787,2005,Burglary and related offences,Number,6567.0
788,2005,Aggravated burglary,Number,65.0
789,2005,Burglary (not aggravated),Number,6467.0
790,2005,"Possession of an article (with intent to burgle, steal, demand)",Number,35.0
791,2005,Theft and related offences,Number,19445.0
792,2005,Theft/taking of vehicle and related offences,Number,3638.0
793,2005,Theft from person,Number,1325.0
794,2005,Theft from shop,Number,4158.0
795,2005,"Other thefts, handling stolen property",Number,10324.0
796,2005,"Fraud, deception and related offences",Number,861.0
797,2005,Controlled drug offences,Number,4188.0
798,2005,Importation of drugs,Number,5.0
799,2005,Cultivation or manufacture of drugs,Number,15.0
800,2005,Possession of drugs for sale or supply,Number,611.0
801,2005,Possession of drugs for personal use,Number,3404.0
802,2005,Other drug offences,Number,153.0
803,2005,Weapons and Explosives Offences,Number,729.0
804,2005,"Explosives, chemical weapons offences",Number,41.0
805,2005,Discharging a firearm,Number,84.0
806,2005,Possession of a firearm,Number,116.0
807,2005,Offensive weapons offences (n.e.c.),Number,488.0
808,2005,Fireworks offences,Number,0.0
809,2005,Damage to property and to the environment,Number,9945.0
810,2005,Arson,Number,404.0
811,2005,Criminal damage (not arson),Number,9509.0
812,2005,Litter offences,Number,32.0
813,2005,Public order and other social code offences,Number,15052.0
814,2005,Disorderly conduct,Number,11256.0
