"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2003Q4","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","38"
"Recorded crime incidents (Under Reservation)","2003Q4","Burglary and related offences","Number","6662"
"Recorded crime incidents (Under Reservation)","2003Q4","Aggravated burglary","Number","82"
"Recorded crime incidents (Under Reservation)","2003Q4","Burglary (not aggravated)","Number","6535"
"Recorded crime incidents (Under Reservation)","2003Q4","Possession of an article (with intent to burgle, steal, demand)","Number","45"
"Recorded crime incidents (Under Reservation)","2003Q4","Theft and related offences","Number","17222"
"Recorded crime incidents (Under Reservation)","2003Q4","Theft/taking of vehicle and related offences","Number","3142"
"Recorded crime incidents (Under Reservation)","2003Q4","Theft from person","Number","1605"
"Recorded crime incidents (Under Reservation)","2003Q4","Theft from shop","Number","4047"
"Recorded crime incidents (Under Reservation)","2003Q4","Other thefts, handling stolen property","Number","8428"
"Recorded crime incidents (Under Reservation)","2003Q4","Fraud, deception and related offences","Number","862"
"Recorded crime incidents (Under Reservation)","2003Q4","Controlled drug offences","Number","2318"
"Recorded crime incidents (Under Reservation)","2003Q4","Importation of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q4","Cultivation or manufacture of drugs","Number","13"
"Recorded crime incidents (Under Reservation)","2003Q4","Possession of drugs for sale or supply","Number","499"
"Recorded crime incidents (Under Reservation)","2003Q4","Possession of drugs for personal use","Number","1709"
"Recorded crime incidents (Under Reservation)","2003Q4","Other drug offences","Number","85"
"Recorded crime incidents (Under Reservation)","2003Q4","Weapons and Explosives Offences","Number","467"
"Recorded crime incidents (Under Reservation)","2003Q4","Explosives, chemical weapons offences","Number","37"
"Recorded crime incidents (Under Reservation)","2003Q4","Discharging a firearm","Number","55"
"Recorded crime incidents (Under Reservation)","2003Q4","Possession of a firearm","Number","90"
"Recorded crime incidents (Under Reservation)","2003Q4","Offensive weapons offences (n.e.c.)","Number","285"
"Recorded crime incidents (Under Reservation)","2003Q4","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q4","Damage to property and to the environment","Number","8507"
"Recorded crime incidents (Under Reservation)","2003Q4","Arson","Number","368"
"Recorded crime incidents (Under Reservation)","2003Q4","Criminal damage (not arson)","Number","8117"
"Recorded crime incidents (Under Reservation)","2003Q4","Litter offences","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q4","Public order and other social code offences","Number","12336"
"Recorded crime incidents (Under Reservation)","2003Q4","Disorderly conduct","Number","9931"
"Recorded crime incidents (Under Reservation)","2003Q4","Trespass offences","Number","332"
"Recorded crime incidents (Under Reservation)","2003Q4","Liquor licensing offences","Number","1624"
"Recorded crime incidents (Under Reservation)","2003Q4","Prostitution offences","Number","33"
"Recorded crime incidents (Under Reservation)","2003Q4","Regulated betting/money, collection/trading offences","Number","108"
"Recorded crime incidents (Under Reservation)","2003Q4","Social code offences (n.e.c.)","Number","308"
"Recorded crime incidents (Under Reservation)","2003Q4","Offences against government, justice procedures and organisation of crime","Number","1722"
"Recorded crime incidents (Under Reservation)","2003Q4","Offences against government and its agents","Number","44"
"Recorded crime incidents (Under Reservation)","2003Q4","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q4","Perverting the course of justice","Number","60"
"Recorded crime incidents (Under Reservation)","2003Q4","Offences while in custody, breach of court orders","Number","1616"
"Recorded crime incidents (Under Reservation)","2004Q1","Homicide offences","Number","28"
"Recorded crime incidents (Under Reservation)","2004Q1","Murder","Number","6"
"Recorded crime incidents (Under Reservation)","2004Q1","Manslaughter","Number","5"
"Recorded crime incidents (Under Reservation)","2004Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q1","Dangerous driving leading to death","Number","17"
"Recorded crime incidents (Under Reservation)","2004Q1","Sexual offences","Number","533"
"Recorded crime incidents (Under Reservation)","2004Q1","Rape of a male or female","Number","130"
"Recorded crime incidents (Under Reservation)","2004Q1","Defilement of a boy or girl less than 17 years old","Number","39"
"Recorded crime incidents (Under Reservation)","2004Q1","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2004Q1","Aggravated sexual assault","Number","5"
"Recorded crime incidents (Under Reservation)","2004Q1","Sexual assault (not aggravated)","Number","331"
"Recorded crime incidents (Under Reservation)","2004Q1","Other sexual offences","Number","22"
"Recorded crime incidents (Under Reservation)","2004Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","3467"
"Recorded crime incidents (Under Reservation)","2004Q1","Murder-attempt","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q1","Threat to kill or cause serious harm","Number","10"
"Recorded crime incidents (Under Reservation)","2004Q1","Harassment and related offences","Number","297"
"Recorded crime incidents (Under Reservation)","2004Q1","Assault causing harm, poisoning","Number","1074"
"Recorded crime incidents (Under Reservation)","2004Q1","Other assault","Number","2086"
