"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2004Q1","Dangerous or negligent acts","Number","2805"
"Recorded crime incidents (Under Reservation)","2004Q1","Dangerous driving causing serious bodily harm","Number","13"
"Recorded crime incidents (Under Reservation)","2004Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","2676"
"Recorded crime incidents (Under Reservation)","2004Q1","Driving/in charge of a vehicle under the influence of drugs","Number","16"
"Recorded crime incidents (Under Reservation)","2004Q1","Endangerment with potential for serious harm/death","Number","21"
"Recorded crime incidents (Under Reservation)","2004Q1","Abandoning a child, child neglect and cruelty","Number","41"
"Recorded crime incidents (Under Reservation)","2004Q1","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q1","False alarm/interference with aircraft or air transport facilities","Number","5"
"Recorded crime incidents (Under Reservation)","2004Q1","Endangering traffic offences","Number","33"
"Recorded crime incidents (Under Reservation)","2004Q1","Kidnapping and related offences","Number","24"
"Recorded crime incidents (Under Reservation)","2004Q1","False imprisonment","Number","17"
"Recorded crime incidents (Under Reservation)","2004Q1","Abduction of person under 16 years of age","Number","7"
"Recorded crime incidents (Under Reservation)","2004Q1","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q1","Robbery, extortion and hijacking offences","Number","774"
"Recorded crime incidents (Under Reservation)","2004Q1","Robbery of an establishment or institution","Number","282"
"Recorded crime incidents (Under Reservation)","2004Q1","Robbery of cash or goods in transit","Number","22"
"Recorded crime incidents (Under Reservation)","2004Q1","Robbery from the person","Number","442"
"Recorded crime incidents (Under Reservation)","2004Q1","Blackmail or extortion","Number","6"
"Recorded crime incidents (Under Reservation)","2004Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","22"
"Recorded crime incidents (Under Reservation)","2004Q1","Burglary and related offences","Number","7015"
"Recorded crime incidents (Under Reservation)","2004Q1","Aggravated burglary","Number","80"
"Recorded crime incidents (Under Reservation)","2004Q1","Burglary (not aggravated)","Number","6875"
"Recorded crime incidents (Under Reservation)","2004Q1","Possession of an article (with intent to burgle, steal, demand)","Number","60"
"Recorded crime incidents (Under Reservation)","2004Q1","Theft and related offences","Number","18618"
"Recorded crime incidents (Under Reservation)","2004Q1","Theft/taking of vehicle and related offences","Number","3882"
"Recorded crime incidents (Under Reservation)","2004Q1","Theft from person","Number","1559"
"Recorded crime incidents (Under Reservation)","2004Q1","Theft from shop","Number","3862"
"Recorded crime incidents (Under Reservation)","2004Q1","Other thefts, handling stolen property","Number","9315"
"Recorded crime incidents (Under Reservation)","2004Q1","Fraud, deception and related offences","Number","981"
"Recorded crime incidents (Under Reservation)","2004Q1","Controlled drug offences","Number","2237"
"Recorded crime incidents (Under Reservation)","2004Q1","Importation of drugs","Number","7"
"Recorded crime incidents (Under Reservation)","2004Q1","Cultivation or manufacture of drugs","Number","4"
"Recorded crime incidents (Under Reservation)","2004Q1","Possession of drugs for sale or supply","Number","511"
"Recorded crime incidents (Under Reservation)","2004Q1","Possession of drugs for personal use","Number","1583"
"Recorded crime incidents (Under Reservation)","2004Q1","Other drug offences","Number","132"
"Recorded crime incidents (Under Reservation)","2004Q1","Weapons and Explosives Offences","Number","584"
"Recorded crime incidents (Under Reservation)","2004Q1","Explosives, chemical weapons offences","Number","2"
"Recorded crime incidents (Under Reservation)","2004Q1","Discharging a firearm","Number","83"
"Recorded crime incidents (Under Reservation)","2004Q1","Possession of a firearm","Number","120"
"Recorded crime incidents (Under Reservation)","2004Q1","Offensive weapons offences (n.e.c.)","Number","379"
"Recorded crime incidents (Under Reservation)","2004Q1","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q1","Damage to property and to the environment","Number","9751"
"Recorded crime incidents (Under Reservation)","2004Q1","Arson","Number","356"
"Recorded crime incidents (Under Reservation)","2004Q1","Criminal damage (not arson)","Number","9357"
"Recorded crime incidents (Under Reservation)","2004Q1","Litter offences","Number","38"
"Recorded crime incidents (Under Reservation)","2004Q1","Public order and other social code offences","Number","10602"
"Recorded crime incidents (Under Reservation)","2004Q1","Disorderly conduct","Number","8749"
"Recorded crime incidents (Under Reservation)","2004Q1","Trespass offences","Number","320"
"Recorded crime incidents (Under Reservation)","2004Q1","Liquor licensing offences","Number","1249"
"Recorded crime incidents (Under Reservation)","2004Q1","Prostitution offences","Number","59"
"Recorded crime incidents (Under Reservation)","2004Q1","Regulated betting/money, collection/trading offences","Number","37"
"Recorded crime incidents (Under Reservation)","2004Q1","Social code offences (n.e.c.)","Number","188"
"Recorded crime incidents (Under Reservation)","2004Q1","Offences against government, justice procedures and organisation of crime","Number","1783"
"Recorded crime incidents (Under Reservation)","2004Q1","Offences against government and its agents","Number","49"
"Recorded crime incidents (Under Reservation)","2004Q1","Organisation of crime and conspiracy to commit crime","Number","7"
"Recorded crime incidents (Under Reservation)","2004Q1","Perverting the course of justice","Number","59"
"Recorded crime incidents (Under Reservation)","2004Q1","Offences while in custody, breach of court orders","Number","1668"
"Recorded crime incidents (Under Reservation)","2004Q2","Homicide offences","Number","33"
"Recorded crime incidents (Under Reservation)","2004Q2","Murder","Number","9"
"Recorded crime incidents (Under Reservation)","2004Q2","Manslaughter","Number","3"
"Recorded crime incidents (Under Reservation)","2004Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q2","Dangerous driving leading to death","Number","21"
"Recorded crime incidents (Under Reservation)","2004Q2","Sexual offences","Number","354"
"Recorded crime incidents (Under Reservation)","2004Q2","Rape of a male or female","Number","99"
"Recorded crime incidents (Under Reservation)","2004Q2","Defilement of a boy or girl less than 17 years old","Number","35"
"Recorded crime incidents (Under Reservation)","2004Q2","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2004Q2","Aggravated sexual assault","Number","5"
"Recorded crime incidents (Under Reservation)","2004Q2","Sexual assault (not aggravated)","Number","179"
"Recorded crime incidents (Under Reservation)","2004Q2","Other sexual offences","Number","30"
"Recorded crime incidents (Under Reservation)","2004Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","3281"
"Recorded crime incidents (Under Reservation)","2004Q2","Murder-attempt","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q2","Threat to kill or cause serious harm","Number","11"
"Recorded crime incidents (Under Reservation)","2004Q2","Harassment and related offences","Number","256"
"Recorded crime incidents (Under Reservation)","2004Q2","Assault causing harm, poisoning","Number","928"
"Recorded crime incidents (Under Reservation)","2004Q2","Other assault","Number","2086"
"Recorded crime incidents (Under Reservation)","2004Q2","Dangerous or negligent acts","Number","2994"
"Recorded crime incidents (Under Reservation)","2004Q2","Dangerous driving causing serious bodily harm","Number","6"
"Recorded crime incidents (Under Reservation)","2004Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","2849"
"Recorded crime incidents (Under Reservation)","2004Q2","Driving/in charge of a vehicle under the influence of drugs","Number","24"
"Recorded crime incidents (Under Reservation)","2004Q2","Endangerment with potential for serious harm/death","Number","22"
"Recorded crime incidents (Under Reservation)","2004Q2","Abandoning a child, child neglect and cruelty","Number","55"
"Recorded crime incidents (Under Reservation)","2004Q2","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q2","False alarm/interference with aircraft or air transport facilities","Number","5"
"Recorded crime incidents (Under Reservation)","2004Q2","Endangering traffic offences","Number","33"
"Recorded crime incidents (Under Reservation)","2004Q2","Kidnapping and related offences","Number","17"
"Recorded crime incidents (Under Reservation)","2004Q2","False imprisonment","Number","16"
"Recorded crime incidents (Under Reservation)","2004Q2","Abduction of person under 16 years of age","Number","1"
"Recorded crime incidents (Under Reservation)","2004Q2","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2004Q2","Robbery, extortion and hijacking offences","Number","683"
"Recorded crime incidents (Under Reservation)","2004Q2","Robbery of an establishment or institution","Number","232"
"Recorded crime incidents (Under Reservation)","2004Q2","Robbery of cash or goods in transit","Number","15"
"Recorded crime incidents (Under Reservation)","2004Q2","Robbery from the person","Number","416"
"Recorded crime incidents (Under Reservation)","2004Q2","Blackmail or extortion","Number","2"
"Recorded crime incidents (Under Reservation)","2004Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","18"
"Recorded crime incidents (Under Reservation)","2004Q2","Burglary and related offences","Number","5604"
"Recorded crime incidents (Under Reservation)","2004Q2","Aggravated burglary","Number","68"
"Recorded crime incidents (Under Reservation)","2004Q2","Burglary (not aggravated)","Number","5484"
"Recorded crime incidents (Under Reservation)","2004Q2","Possession of an article (with intent to burgle, steal, demand)","Number","52"
"Recorded crime incidents (Under Reservation)","2004Q2","Theft and related offences","Number","18016"
"Recorded crime incidents (Under Reservation)","2004Q2","Theft/taking of vehicle and related offences","Number","3642"
"Recorded crime incidents (Under Reservation)","2004Q2","Theft from person","Number","1462"
"Recorded crime incidents (Under Reservation)","2004Q2","Theft from shop","Number","3470"
"Recorded crime incidents (Under Reservation)","2004Q2","Other thefts, handling stolen property","Number","9442"
"Recorded crime incidents (Under Reservation)","2004Q2","Fraud, deception and related offences","Number","713"
"Recorded crime incidents (Under Reservation)","2004Q2","Controlled drug offences","Number","2535"
"Recorded crime incidents (Under Reservation)","2004Q2","Importation of drugs","Number","16"
